Class,precision,recall,f1-score,support,Total Images,Misclassified Images
Apple___Apple_scab1,1.0,1.0,1.0,63.0,63,0
Apple___Black_rot,1.0,1.0,1.0,63.0,63,0
Apple___Cedar_apple_rust,1.0,1.0,1.0,28.0,28,0
Apple___healthy,1.0,0.9818181818181818,0.9908256880733946,165.0,165,3
Blueberry___healthy,0.993421052631579,1.0,0.9966996699669967,151.0,151,0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,106.0,106,0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,87.0,87,0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9791666666666666,0.9038461538461539,0.94,52.0,52,5
Corn_(maize)___Common_rust_,1.0,1.0,1.0,120.0,120,0
Corn_(maize)___Northern_Leaf_Blight,0.9514563106796117,0.98989898989899,0.9702970297029703,99.0,99,1
Corn_(maize)___healthy,1.0,1.0,1.0,117.0,117,0
Grape___Black_rot,1.0,1.0,1.0,118.0,118,0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,139.0,139,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108.0,108,0
Grape___healthy,1.0,1.0,1.0,43.0,43,0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,552.0,552,0
Peach___Bacterial_spot,1.0,1.0,1.0,231.0,231,0
Peach___healthy,0.9736842105263158,1.0,0.9866666666666667,37.0,37,0
"Pepper,_bell___Bacterial_spot",1.0,0.9607843137254902,0.98,102.0,102,4
"Pepper,_bell___healthy",0.9738562091503268,1.0,0.9867549668874173,149.0,149,0
Potato___Early_blight,1.0,1.0,1.0,100.0,100,0
Potato___Late_blight,1.0,0.96,0.9795918367346939,100.0,100,4
Potato___healthy,1.0,0.9375,0.967741935483871,16.0,16,1
Raspberry___healthy,1.0,1.0,1.0,38.0,38,0
Soybean___healthy,0.9960861056751468,1.0,0.9980392156862745,509.0,509,0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0,184,0
Strawberry___Leaf_scorch,1.0,1.0,1.0,112.0,112,0
Strawberry___healthy,1.0,1.0,1.0,46.0,46,0
Tomato___Bacterial_spot,1.0,0.9906542056074766,0.9953051643192489,214.0,214,2
Tomato___Early_blight,0.9789473684210527,0.93,0.9538461538461539,100.0,100,7
Tomato___Late_blight,0.9595959595959596,0.9895833333333334,0.9743589743589743,192.0,192,2
Tomato___Leaf_Mold,1.0,1.0,1.0,96.0,96,0
Tomato___Septoria_leaf_spot,1.0,1.0,1.0,178.0,178,0
Tomato___Spider_mites Two-spotted_spider_mite,0.9767441860465116,1.0,0.9882352941176471,168.0,168,0
Tomato___Target_Spot,0.9787234042553191,0.971830985915493,0.9752650176678446,142.0,142,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9981412639405205,1.0,0.9990697674418605,537.0,537,0
Tomato___Tomato_mosaic_virus,0.9743589743589743,1.0,0.987012987012987,38.0,38,0
Tomato___healthy,1.0,1.0,1.0,160.0,160,0
